contractor_id,contractor_type,license_number,business_name,status_bucket
20446,Commercial,,,LA
34269,Commercial,,,LA
20616,Commercial,,,LA
41669,Residential,,,LA
30422,Commercial,,,LA
50448,Residential,,,LA
33220,Commercial,,,LA
34230,Commercial,,,LA
26257,Commercial,,,LA
19791,Commercial,,,LA
51585,Residential,,,LA
33866,Commercial,,,LA
24145,Commercial,,,LA
11696,Commercial,,,LA
34902,Commercial,,,LA
11698,Commercial,,,LA
30858,Commercial,,,LA
33144,Commercial,,,LA
31482,Commercial,,,LA
11704,Commercial,,,LA
31262,Commercial,,,LA
26672,Commercial,,,LA
52515,Residential,,,LA
19085,Commercial,,,LA
52490,Residential,,,LA
11709,Commercial,,,LA
11710,Commercial,,,LA
24484,Commercial,,,LA
20617,Commercial,,,LA
11712,Commercial,,,LA
34538,Commercial,,,LA
11714,Commercial,,,LA
54668,Residential,,,LA
11716,Commercial,,,LA
26302,Commercial,,,LA
11720,Commercial,,,LA
30372,Commercial,,,LA
47395,Residential,,,LA
11722,Commercial,,,LA
33958,Commercial,,,LA
49850,Residential,,,LA
24411,Commercial,,,LA
50147,Residential,,,LA
51271,Residential,,,LA
25739,Commercial,,,LA
11728,Commercial,,,LA
47521,Residential,,,LA
54114,Residential,,,LA
52543,Residential,,,LA
11733,Commercial,,,LA
24108,Commercial,,,LA
11734,Commercial,,,LA
23540,Commercial,,,LA
51210,Residential,,,LA
49631,Residential,,,LA
51333,Residential,,,LA
11739,Commercial,,,LA
54020,Residential,,,LA
43871,Residential,,,LA
38469,Residential,,,LA
49674,Residential,,,LA
34525,Residential,,,LA
51346,Residential,,,LA
34527,Residential,,,LA
28384,Commercial,,,LA
52219,Residential,,,LA
30181,Commercial,,,LA
25967,Commercial,,,LA
55056,Residential,,,LA
51356,Residential,,,LA
29933,Commercial,,,LA
49126,Residential,,,LA
50098,Residential,,,LA
51584,Residential,,,LA
33199,Commercial,,,LA
36396,Commercial,,,LA
35052,Commercial,,,LA
23281,Commercial,,,LA
26606,Commercial,,,LA
19142,Commercial,,,LA
11756,Commercial,,,LA
53253,Residential,,,LA
33111,Commercial,,,LA
32643,Commercial,,,LA
47321,Residential,,,LA
11758,Commercial,,,LA
49866,Residential,,,LA
53101,Residential,,,LA
54743,Residential,,,LA
54770,Residential,,,LA
20322,Commercial,,,LA
51460,Residential,,,LA
48501,Residential,,,LA
51393,Residential,,,LA
51998,Residential,,,LA
31730,Commercial,,,LA
52579,Residential,,,LA
11766,Commercial,,,LA
25348,Commercial,,,LA
11767,Commercial,,,LA
34559,Residential,,,LA
35124,Commercial,,,LA
51890,Residential,,,LA
21655,Commercial,,,LA
25200,Commercial,,,LA
11768,Commercial,,,LA
49729,Residential,,,LA
11770,Commercial,,,LA
31993,Commercial,,,LA
35425,Commercial,,,LA
23785,Commercial,,,LA
54040,Residential,,,LA
11771,Commercial,,,LA
11773,Commercial,,,LA
35403,Commercial,,,LA
53877,Residential,,,LA
36118,Commercial,,,LA
34651,Commercial,,,LA
22347,Commercial,,,LA
11685,Commercial,,,LA
11776,Commercial,,,LA
22996,Commercial,,,LA
34453,Commercial,,,LA
11781,Commercial,,,LA
25178,Commercial,,,LA
11784,Commercial,,,LA
38062,Residential,,,LA
53073,Residential,,,LA
36243,Commercial,,,LA
11786,Commercial,,,LA
32668,Commercial,,,LA
11790,Commercial,,,LA
34579,Residential,,,LA
50954,Residential,,,LA
34582,Residential,,,LA
55076,Residential,,,LA
19105,Commercial,,,LA
34351,Commercial,,,LA
33649,Commercial,,,LA
50674,Residential,,,LA
23924,Commercial,,,LA
31756,Commercial,,,LA
50271,Residential,,,LA
26370,Commercial,,,LA
33015,Commercial,,,LA
50547,Residential,,,LA
52111,Residential,,,LA
11801,Commercial,,,LA
26791,Commercial,,,LA
33067,Commercial,,,LA
42109,Residential,,,LA
27938,Commercial,,,LA
34602,Residential,,,LA
43074,Residential,,,LA
34607,Residential,,,LA
20457,Commercial,,,LA
30484,Commercial,,,LA
33394,Commercial,,,LA
32110,Commercial,,,LA
21496,Commercial,,,LA
34130,Commercial,,,LA
50298,Residential,,,LA
31946,Commercial,,,LA
25345,Commercial,,,LA
35505,Commercial,,,LA
30923,Commercial,,,LA
23684,Commercial,,,LA
20857,Commercial,,,LA
36277,Commercial,,,LA
22375,Commercial,,,LA
34413,Commercial,,,LA
30121,Commercial,,,LA
35358,Commercial,,,LA
33435,Commercial,,,LA
20585,Commercial,,,LA
52597,Residential,,,LA
22456,Commercial,,,LA
20170,Commercial,,,LA
52085,Residential,,,LA
51085,Residential,,,LA
11825,Commercial,,,LA
11826,Commercial,,,LA
11831,Commercial,,,LA
11833,Commercial,,,LA
11834,Commercial,,,LA
34616,Residential,,,LA
35429,Commercial,,,LA
34580,Commercial,,,LA
53282,Residential,,,LA
30239,Commercial,,,LA
36211,Commercial,,,LA
20573,Commercial,,,LA
36174,Commercial,,,LA
48797,Residential,,,LA
36387,Commercial,,,LA
26396,Commercial,,,LA
33459,Commercial,,,LA
24924,Commercial,,,LA
35698,Commercial,,,LA
52239,Residential,,,LA
52158,Residential,,,LA
44596,Residential,,,LA
42370,Residential,,,LA
11840,Commercial,,,LA
48551,Residential,,,LA
52814,Residential,,,LA
30860,Commercial,,,LA
34629,Residential,,,LA
44468,Residential,,,LA
11843,Commercial,,,LA
22743,Commercial,,,LA
26533,Commercial,,,LA
24710,Commercial,,,LA
47619,Residential,,,LA
10119,Commercial,,,LA
26526,Commercial,,,LA
21026,Commercial,,,LA
40768,Residential,,,LA
11851,Commercial,,,LA
11852,Commercial,,,LA
51860,Residential,,,LA
32752,Commercial,,,LA
28158,Commercial,,,LA
21425,Commercial,,,LA
43979,Residential,,,LA
50716,Residential,,,LA
50990,Residential,,,LA
26866,Commercial,,,LA
52199,Residential,,,LA
21144,Commercial,,,LA
50904,Residential,,,LA
51270,Residential,,,LA
50055,Residential,,,LA
23708,Commercial,,,LA
52244,Residential,,,LA
50779,Residential,,,LA
50315,Residential,,,LA
29886,Commercial,,,LA
42475,Residential,,,LA
31001,Commercial,,,LA
35169,Commercial,,,LA
50301,Residential,,,LA
53270,Residential,,,LA
42594,Residential,,,LA
35445,Commercial,,,LA
51281,Residential,,,LA
30446,Commercial,,,LA
28234,Commercial,,,LA
11863,Commercial,,,LA
23115,Commercial,,,LA
20275,Commercial,,,LA
11865,Commercial,,,LA
52266,Residential,,,LA
48477,Residential,,,LA
52887,Residential,,,LA
21067,Commercial,,,LA
35824,Commercial,,,LA
11873,Commercial,,,LA
24350,Commercial,,,LA
53193,Residential,,,LA
20597,Commercial,,,LA
11874,Commercial,,,LA
25705,Commercial,,,LA
43782,Residential,,,LA
34658,Residential,,,LA
53874,Residential,,,LA
25285,Commercial,,,LA
53574,Residential,,,LA
51406,Residential,,,LA
50432,Residential,,,LA
51240,Residential,,,LA
21481,Commercial,,,LA
53993,Residential,,,LA
35993,Commercial,,,LA
21930,Commercial,,,LA
33954,Commercial,,,LA
34670,Residential,,,LA
35223,Commercial,,,LA
52994,Residential,,,LA
18564,Commercial,,,LA
42026,Residential,,,LA
30596,Commercial,,,LA
22148,Commercial,,,LA
31170,Commercial,,,LA
36186,Commercial,,,LA
48700,Residential,,,LA
50260,Residential,,,LA
48241,Residential,,,LA
11892,Commercial,,,LA
52785,Residential,,,LA
51479,Residential,,,LA
50742,Residential,,,LA
50397,Residential,,,LA
21495,Commercial,,,LA
52533,Residential,,,LA
25721,Commercial,,,LA
32078,Commercial,,,LA
18948,Commercial,,,LA
34675,Residential,,,LA
43017,Residential,,,LA
49244,Residential,,,LA
34147,Commercial,,,LA
48156,Residential,,,LA
52628,Residential,,,LA
50116,Residential,,,LA
43844,Residential,,,LA
32901,Commercial,,,LA
34426,Residential,,,LA
54799,Residential,,,LA
32082,Commercial,,,LA
26229,Commercial,,,LA
43066,Residential,,,LA
28047,Commercial,,,LA
34803,Commercial,,,LA
35550,Commercial,,,LA
20013,Commercial,,,LA
47166,Residential,,,LA
35105,Commercial,,,LA
11828,Commercial,,,LA
31062,Commercial,,,LA
36013,Commercial,,,LA
43953,Residential,,,LA
42072,Residential,,,LA
35164,Commercial,,,LA
34501,Commercial,,,LA
32685,Commercial,,,LA
52852,Residential,,,LA
29931,Commercial,,,LA
36398,Commercial,,,LA
54906,Residential,,,LA
48329,Residential,,,LA
47522,Residential,,,LA
50190,Residential,,,LA
11912,Commercial,,,LA
22779,Commercial,,,LA
11914,Commercial,,,LA
51359,Residential,,,LA
11916,Commercial,,,LA
11919,Commercial,,,LA
24061,Commercial,,,LA
50769,Residential,,,LA
11921,Commercial,,,LA
34062,Commercial,,,LA
37251,Residential,,,LA
11926,Commercial,,,LA
51412,Residential,,,LA
54523,Residential,,,LA
53881,Residential,,,LA
34716,Residential,,,LA
34717,Residential,,,LA
35439,Commercial,,,LA
11933,Commercial,,,LA
34719,Residential,,,LA
11936,Commercial,,,LA
32021,Commercial,,,LA
11942,Commercial,,,LA
53765,Residential,,,LA
20027,Commercial,,,LA
30046,Commercial,,,LA
34727,Residential,,,LA
35666,Commercial,,,LA
29956,Commercial,,,LA
48908,Residential,,,LA
11948,Commercial,,,LA
11938,Commercial,,,LA
33563,Commercial,,,LA
51121,Residential,,,LA
33745,Commercial,,,LA
44957,Residential,,,LA
52486,Residential,,,LA
53653,Residential,,,LA
51698,Residential,,,LA
35123,Commercial,,,LA
34646,Commercial,,,LA
50597,Residential,,,LA
50198,Residential,,,LA
11957,Commercial,,,LA
34365,Commercial,,,LA
31117,Commercial,,,LA
49078,Residential,,,LA
34739,Residential,,,LA
25245,Commercial,,,LA
34601,Commercial,,,LA
51491,Residential,,,LA
31183,Commercial,,,LA
49904,Residential,,,LA
32183,Commercial,,,LA
30540,Commercial,,,LA
33386,Commercial,,,LA
11963,Commercial,,,LA
32504,Commercial,,,LA
32415,Commercial,,,LA
33591,Commercial,,,LA
50912,Residential,,,LA
36371,Commercial,,,LA
35114,Commercial,,,LA
32691,Commercial,,,LA
34853,Commercial,,,LA
23673,Commercial,,,LA
50433,Residential,,,LA
11975,Commercial,,,LA
19098,Commercial,,,LA
51574,Residential,,,LA
11977,Commercial,,,LA
28004,Commercial,,,LA
44776,Residential,,,LA
18958,Commercial,,,LA
18950,Commercial,,,LA
18611,Commercial,,,LA
35804,Commercial,,,LA
52213,Residential,,,LA
54273,Residential,,,LA
31093,Commercial,,,LA
32035,Commercial,,,LA
11978,Commercial,,,LA
31192,Commercial,,,LA
32466,Commercial,,,LA
31927,Commercial,,,LA
25394,Commercial,,,LA
23711,Commercial,,,LA
11980,Commercial,,,LA
52473,Residential,,,LA
30295,Commercial,,,LA
28199,Commercial,,,LA
49853,Residential,,,LA
34851,Commercial,,,LA
28000,Commercial,,,LA
11982,Commercial,,,LA
35626,Commercial,,,LA
11988,Commercial,,,LA
50828,Residential,,,LA
24960,Commercial,,,LA
34113,Commercial,,,LA
20968,Commercial,,,LA
50594,Residential,,,LA
11991,Commercial,,,LA
22412,Commercial,,,LA
51693,Residential,,,LA
50987,Residential,,,LA
18951,Commercial,,,LA
32285,Commercial,,,LA
31825,Commercial,,,LA
34757,Residential,,,LA
32453,Commercial,,,LA
24612,Commercial,,,LA
12005,Commercial,,,LA
36033,Commercial,,,LA
23433,Commercial,,,LA
51750,Residential,,,LA
12011,Commercial,,,LA
23819,Commercial,,,LA
54385,Residential,,,LA
52631,Residential,,,LA
28914,Commercial,,,LA
50380,Residential,,,LA
50752,Residential,,,LA
12019,Commercial,,,LA
23890,Commercial,,,LA
33651,Commercial,,,LA
32081,Commercial,,,LA
35636,Commercial,,,LA
44075,Residential,,,LA
54887,Residential,,,LA
43383,Residential,,,LA
33800,Commercial,,,LA
33147,Commercial,,,LA
34036,Commercial,,,LA
28725,Commercial,,,LA
47404,Residential,,,LA
12025,Commercial,,,LA
54554,Residential,,,LA
51344,Residential,,,LA
24469,Commercial,,,LA
28052,Commercial,,,LA
23191,Commercial,,,LA
51476,Residential,,,LA
51282,Residential,,,LA
36743,Residential,,,LA
33648,Commercial,,,LA
21465,Commercial,,,LA
30444,Commercial,,,LA
20202,Commercial,,,LA
49823,Residential,,,LA
50443,Residential,,,LA
53996,Residential,,,LA
28675,Commercial,,,LA
35841,Commercial,,,LA
51571,Residential,,,LA
35861,Commercial,,,LA
31613,Commercial,,,LA
34348,Commercial,,,LA
43253,Residential,,,LA
31967,Commercial,,,LA
34729,Commercial,,,LA
25975,Commercial,,,LA
21863,Commercial,,,LA
52920,Residential,,,LA
12031,Commercial,,,LA
25704,Commercial,,,LA
35787,Commercial,,,LA
50495,Residential,,,LA
30686,Commercial,,,LA
50455,Residential,,,LA
50997,Residential,,,LA
33868,Commercial,,,LA
54946,Residential,,,LA
51176,Residential,,,LA
32045,Commercial,,,LA
44678,Residential,,,LA
12036,Commercial,,,LA
12035,Commercial,,,LA
34778,Residential,,,LA
34777,Residential,,,LA
20545,Commercial,,,LA
34780,Residential,,,LA
41199,Residential,,,LA
32981,Commercial,,,LA
51442,Residential,,,LA
26581,Commercial,,,LA
34793,Residential,,,LA
41487,Residential,,,LA
12042,Commercial,,,LA
32131,Commercial,,,LA
12044,Commercial,,,LA
30101,Commercial,,,LA
28915,Commercial,,,LA
54365,Residential,,,LA
12047,Commercial,,,LA
12050,Commercial,,,LA
12051,Commercial,,,LA
34800,Residential,,,LA
33699,Commercial,,,LA
36340,Commercial,,,LA
30459,Commercial,,,LA
51032,Residential,,,LA
33189,Commercial,,,LA
51448,Residential,,,LA
49736,Residential,,,LA
12055,Commercial,,,LA
22836,Commercial,,,LA
50632,Residential,,,LA
22901,Commercial,,,LA
51979,Residential,,,LA
12056,Commercial,,,LA
21047,Commercial,,,LA
12057,Commercial,,,LA
32348,Commercial,,,LA
49690,Residential,,,LA
50254,Residential,,,LA
51694,Residential,,,LA
35746,Commercial,,,LA
54029,Residential,,,LA
50346,Residential,,,LA
12060,Commercial,,,LA
34710,Commercial,,,LA
30088,Commercial,,,LA
12061,Commercial,,,LA
28492,Commercial,,,LA
34578,Commercial,,,LA
12062,Commercial,,,LA
19441,Commercial,,,LA
21587,Commercial,,,LA
32858,Commercial,,,LA
34199,Commercial,,,LA
12066,Commercial,,,LA
30606,Commercial,,,LA
30190,Commercial,,,LA
28891,Commercial,,,LA
34630,Commercial,,,LA
24283,Commercial,,,LA
36218,Commercial,,,LA
53756,Residential,,,LA
33380,Commercial,,,LA
48923,Residential,,,LA
44021,Residential,,,LA
52828,Residential,,,LA
23098,Commercial,,,LA
28888,Commercial,,,LA
35178,Commercial,,,LA
54978,Residential,,,LA
33732,Commercial,,,LA
53459,Residential,,,LA
53593,Residential,,,LA
35413,Commercial,,,LA
52209,Residential,,,LA
33336,Commercial,,,LA
20224,Commercial,,,LA
54650,Residential,,,LA
50054,Residential,,,LA
25727,Commercial,,,LA
35610,Commercial,,,LA
31781,Commercial,,,LA
50058,Residential,,,LA
53109,Residential,,,LA
51873,Residential,,,LA
35212,Commercial,,,LA
44725,Residential,,,LA
52869,Residential,,,LA
35635,Commercial,,,LA
28392,Commercial,,,LA
32794,Commercial,,,LA
31735,Commercial,,,LA
30627,Commercial,,,LA
12071,Commercial,,,LA
54769,Residential,,,LA
36006,Commercial,,,LA
49911,Residential,,,LA
34073,Commercial,,,LA
12072,Commercial,,,LA
35102,Commercial,,,LA
52430,Residential,,,LA
24153,Commercial,,,LA
34896,Commercial,,,LA
30274,Commercial,,,LA
34807,Residential,,,LA
12079,Commercial,,,LA
42899,Residential,,,LA
12083,Commercial,,,LA
42679,Residential,,,LA
42323,Residential,,,LA
34815,Residential,,,LA
34816,Commercial,,,LA
42371,Residential,,,LA
22989,Commercial,,,LA
35780,Residential,,,LA
12093,Commercial,,,LA
34829,Residential,,,LA
33449,Commercial,,,LA
50112,Residential,,,LA
25238,Commercial,,,LA
32053,Commercial,,,LA
49849,Residential,,,LA
32690,Commercial,,,LA
49151,Residential,,,LA
28530,Commercial,,,LA
12095,Commercial,,,LA
31727,Commercial,,,LA
54837,Residential,,,LA
50155,Residential,,,LA
33058,Commercial,,,LA
48497,Residential,,,LA
34930,Commercial,,,LA
52559,Residential,,,LA
35259,Residential,,,LA
34064,Commercial,,,LA
37399,Residential,,,LA
23835,Commercial,,,LA
12102,Commercial,,,LA
48961,Residential,,,LA
28109,Commercial,,,LA
30842,Commercial,,,LA
21315,Commercial,,,LA
49790,Residential,,,LA
31112,Commercial,,,LA
23490,Commercial,,,LA
32631,Commercial,,,LA
33772,Commercial,,,LA
12110,Commercial,,,LA
12112,Commercial,,,LA
26157,Commercial,,,LA
25518,Commercial,,,LA
32458,Commercial,,,LA
42029,Residential,,,LA
31194,Commercial,,,LA
34771,Commercial,,,LA
30116,Commercial,,,LA
22054,Commercial,,,LA
54073,Residential,,,LA
25837,Commercial,,,LA
51746,Residential,,,LA
34875,Commercial,,,LA
32514,Commercial,,,LA
20026,Commercial,,,LA
22754,Commercial,,,LA
29893,Commercial,,,LA
26832,Commercial,,,LA
24132,Commercial,,,LA
32431,Commercial,,,LA
42599,Residential,,,LA
26056,Commercial,,,LA
26100,Commercial,,,LA
26200,Commercial,,,LA
50423,Residential,,,LA
33434,Commercial,,,LA
54215,Residential,,,LA
18723,Commercial,,,LA
21000,Commercial,,,LA
26651,Commercial,,,LA
12130,Commercial,,,LA
33042,Commercial,,,LA
24782,Commercial,,,LA
33264,Commercial,,,LA
51275,Residential,,,LA
12138,Commercial,,,LA
55068,Residential,,,LA
35540,Commercial,,,LA
48107,Residential,,,LA
23114,Commercial,,,LA
24555,Commercial,,,LA
50345,Residential,,,LA
35210,Commercial,,,LA
12148,Commercial,,,LA
12149,Commercial,,,LA
54246,Residential,,,LA
31589,Commercial,,,LA
12159,Commercial,,,LA
34947,Commercial,,,LA
12161,Commercial,,,LA
12162,Commercial,,,LA
12163,Commercial,,,LA
32295,Commercial,,,LA
12167,Commercial,,,LA
12169,Commercial,,,LA
36108,Commercial,,,LA
34352,Commercial,,,LA
33848,Commercial,,,LA
30314,Commercial,,,LA
52716,Residential,,,LA
28406,Commercial,,,LA
20387,Commercial,,,LA
26444,Commercial,,,LA
19325,Commercial,,,LA
35234,Commercial,,,LA
53733,Residential,,,LA
52723,Residential,,,LA
26223,Commercial,,,LA
43110,Residential,,,LA
30653,Commercial,,,LA
49852,Residential,,,LA
12183,Commercial,,,LA
13667,Commercial,,,LA
51165,Residential,,,LA
32987,Commercial,,,LA
32839,Commercial,,,LA
21444,Commercial,,,LA
51280,Residential,,,LA
52776,Residential,,,LA
50117,Residential,,,LA
14560,Commercial,,,LA
51338,Residential,,,LA
52371,Residential,,,LA
51025,Residential,,,LA
24934,Commercial,,,LA
12191,Commercial,,,LA
12194,Commercial,,,LA
20548,Commercial,,,LA
52983,Residential,,,LA
33807,Commercial,,,LA
12197,Commercial,,,LA
51293,Residential,,,LA
31471,Commercial,,,LA
31503,Commercial,,,LA
24804,Commercial,,,LA
30731,Commercial,,,LA
50390,Residential,,,LA
20886,Commercial,,,LA
34867,Residential,,,LA
28541,Commercial,,,LA
34216,Commercial,,,LA
23308,Commercial,,,LA
33837,Commercial,,,LA
51715,Residential,,,LA
52847,Residential,,,LA
54507,Residential,,,LA
34559,Commercial,,,LA
31677,Commercial,,,LA
31009,Commercial,,,LA
22678,Commercial,,,LA
42070,Residential,,,LA
43009,Residential,,,LA
32327,Commercial,,,LA
35755,Commercial,,,LA
54370,Residential,,,LA
49710,Residential,,,LA
49908,Residential,,,LA
44752,Residential,,,LA
12203,Commercial,,,LA
12204,Commercial,,,LA
32481,Commercial,,,LA
53940,Residential,,,LA
20010,Commercial,,,LA
49362,Residential,,,LA
52731,Residential,,,LA
21932,Commercial,,,LA
12210,Commercial,,,LA
51569,Residential,,,LA
51829,Residential,,,LA
43126,Residential,,,LA
34900,Residential,,,LA
12212,Commercial,,,LA
26773,Commercial,,,LA
35874,Commercial,,,LA
42681,Residential,,,LA
29953,Commercial,,,LA
35471,Commercial,,,LA
54718,Residential,,,LA
30337,Commercial,,,LA
31090,Commercial,,,LA
32138,Commercial,,,LA
12221,Commercial,,,LA
12220,Commercial,,,LA
35881,Commercial,,,LA
53378,Residential,,,LA
50533,Residential,,,LA
35329,Commercial,,,LA
32323,Commercial,,,LA
12224,Commercial,,,LA
20525,Commercial,,,LA
34785,Commercial,,,LA
26632,Commercial,,,LA
31104,Commercial,,,LA
28248,Commercial,,,LA
26518,Commercial,,,LA
25994,Commercial,,,LA
20637,Commercial,,,LA
33872,Commercial,,,LA
19904,Commercial,,,LA
12235,Commercial,,,LA
34294,Commercial,,,LA
47308,Residential,,,LA
34047,Commercial,,,LA
51911,Residential,,,LA
28227,Commercial,,,LA
28484,Commercial,,,LA
29006,Commercial,,,LA
22831,Commercial,,,LA
36075,Commercial,,,LA
52194,Residential,,,LA
53160,Residential,,,LA
48530,Residential,,,LA
52306,Residential,,,LA
12244,Commercial,,,LA
34703,Commercial,,,LA
12246,Commercial,,,LA
36161,Commercial,,,LA
32250,Commercial,,,LA
12256,Commercial,,,LA
11446,Commercial,,,LA
22538,Commercial,,,LA
31055,Commercial,,,LA
33396,Commercial,,,LA
22096,Commercial,,,LA
29961,Commercial,,,LA
24509,Commercial,,,LA
12261,Commercial,,,LA
34618,Commercial,,,LA
20449,Commercial,,,LA
35317,Commercial,,,LA
34917,Residential,,,LA
31043,Commercial,,,LA
35437,Commercial,,,LA
51747,Residential,,,LA
30016,Commercial,,,LA
12268,Commercial,,,LA
34920,Residential,,,LA
31915,Commercial,,,LA
33104,Commercial,,,LA
12271,Commercial,,,LA
20329,Commercial,,,LA
34961,Commercial,,,LA
12276,Commercial,,,LA
34855,Commercial,,,LA
12279,Commercial,,,LA
12281,Commercial,,,LA
34930,Residential,,,LA
49053,Residential,,,LA
31457,Commercial,,,LA
35060,Commercial,,,LA
52256,Residential,,,LA
53981,Residential,,,LA
12289,Commercial,,,LA
28166,Commercial,,,LA
27992,Commercial,,,LA
28601,Commercial,,,LA
52357,Residential,,,LA
50416,Residential,,,LA
19910,Commercial,,,LA
12294,Commercial,,,LA
44039,Residential,,,LA
24823,Commercial,,,LA
23297,Commercial,,,LA
53199,Residential,,,LA
51959,Residential,,,LA
36082,Commercial,,,LA
53263,Residential,,,LA
25815,Commercial,,,LA
23685,Commercial,,,LA
54517,Residential,,,LA
12303,Commercial,,,LA
49947,Residential,,,LA
